city_id,month,total_target_trips,target_new_passengers,target_avg_passenger_rating,trips_target_category,new_passengers_target_category,rating_target_category
AP01,2024-01-01,4500,2500,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
AP01,2024-02-01,4500,2500,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
AP01,2024-03-01,4500,2500,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
AP01,2024-04-01,5000,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
AP01,2024-05-01,5000,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
AP01,2024-06-01,5000,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
CH01,2024-01-01,7000,4000,8.00,"Low Ambition","High Growth Target","High Service Quality Target"
CH01,2024-02-01,7000,4000,8.00,"Low Ambition","High Growth Target","High Service Quality Target"
CH01,2024-03-01,7000,4000,8.00,"Low Ambition","High Growth Target","High Service Quality Target"
CH01,2024-04-01,6000,3000,8.00,"Low Ambition","Low Growth Target","High Service Quality Target"
CH01,2024-05-01,6000,3000,8.00,"Low Ambition","Low Growth Target","High Service Quality Target"
CH01,2024-06-01,6000,3000,8.00,"Low Ambition","Low Growth Target","High Service Quality Target"
GJ01,2024-01-01,9000,2000,7.00,"High Ambition","Low Growth Target","Low Service Quality Target"
GJ01,2024-02-01,9000,2000,7.00,"High Ambition","Low Growth Target","Low Service Quality Target"
GJ01,2024-03-01,9000,2000,7.00,"High Ambition","Low Growth Target","Low Service Quality Target"
GJ01,2024-04-01,10000,1500,7.00,"High Ambition","Low Growth Target","Low Service Quality Target"
GJ01,2024-05-01,10000,1500,7.00,"High Ambition","Low Growth Target","Low Service Quality Target"
GJ01,2024-06-01,10000,1500,7.00,"High Ambition","Low Growth Target","Low Service Quality Target"
GJ02,2024-01-01,6000,1800,7.50,"Low Ambition","Low Growth Target","Low Service Quality Target"
GJ02,2024-02-01,6000,1800,7.50,"Low Ambition","Low Growth Target","Low Service Quality Target"
GJ02,2024-03-01,6000,1800,7.50,"Low Ambition","Low Growth Target","Low Service Quality Target"
GJ02,2024-04-01,6500,1500,7.50,"Low Ambition","Low Growth Target","Low Service Quality Target"
GJ02,2024-05-01,6500,1500,7.50,"Low Ambition","Low Growth Target","Low Service Quality Target"
GJ02,2024-06-01,6500,1500,7.50,"Low Ambition","Low Growth Target","Low Service Quality Target"
KA01,2024-01-01,2000,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
KA01,2024-02-01,2000,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
KA01,2024-03-01,2000,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
KA01,2024-04-01,2500,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
KA01,2024-05-01,2500,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
KA01,2024-06-01,2500,2000,8.50,"Low Ambition","Low Growth Target","High Service Quality Target"
KL01,2024-01-01,7500,5000,8.50,"High Ambition","High Growth Target","High Service Quality Target"
KL01,2024-02-01,7500,5000,8.50,"High Ambition","High Growth Target","High Service Quality Target"
KL01,2024-03-01,7500,5000,8.50,"High Ambition","High Growth Target","High Service Quality Target"
KL01,2024-04-01,9000,4000,8.50,"High Ambition","High Growth Target","High Service Quality Target"
KL01,2024-05-01,9000,4000,8.50,"High Ambition","High Growth Target","High Service Quality Target"
KL01,2024-06-01,9000,4000,8.50,"High Ambition","High Growth Target","High Service Quality Target"
MP01,2024-01-01,7000,2700,8.00,"Low Ambition","Low Growth Target","High Service Quality Target"
MP01,2024-02-01,7000,2700,8.00,"Low Ambition","Low Growth Target","High Service Quality Target"
MP01,2024-03-01,7000,2700,8.00,"Low Ambition","Low Growth Target","High Service Quality Target"
MP01,2024-04-01,7500,2000,8.00,"High Ambition","Low Growth Target","High Service Quality Target"
MP01,2024-05-01,7500,2000,8.00,"High Ambition","Low Growth Target","High Service Quality Target"
MP01,2024-06-01,7500,2000,8.00,"High Ambition","Low Growth Target","High Service Quality Target"
RJ01,2024-01-01,13000,12000,8.25,"High Ambition","High Growth Target","High Service Quality Target"
RJ01,2024-02-01,13000,12000,8.25,"High Ambition","High Growth Target","High Service Quality Target"
RJ01,2024-03-01,13000,12000,8.25,"High Ambition","High Growth Target","High Service Quality Target"
RJ01,2024-04-01,9500,6000,8.25,"High Ambition","High Growth Target","High Service Quality Target"
RJ01,2024-05-01,9500,6000,8.25,"High Ambition","High Growth Target","High Service Quality Target"
RJ01,2024-06-01,9500,6000,8.25,"High Ambition","High Growth Target","High Service Quality Target"
TN01,2024-01-01,3500,1500,8.25,"Low Ambition","Low Growth Target","High Service Quality Target"
TN01,2024-02-01,3500,1500,8.25,"Low Ambition","Low Growth Target","High Service Quality Target"
TN01,2024-03-01,3500,1500,8.25,"Low Ambition","Low Growth Target","High Service Quality Target"
TN01,2024-04-01,3500,1000,8.25,"Low Ambition","Low Growth Target","High Service Quality Target"
TN01,2024-05-01,3500,1000,8.25,"Low Ambition","Low Growth Target","High Service Quality Target"
TN01,2024-06-01,3500,1000,8.25,"Low Ambition","Low Growth Target","High Service Quality Target"
UP01,2024-01-01,13000,3200,7.25,"High Ambition","High Growth Target","Low Service Quality Target"
UP01,2024-02-01,13000,3200,7.25,"High Ambition","High Growth Target","Low Service Quality Target"
UP01,2024-03-01,13000,3200,7.25,"High Ambition","High Growth Target","Low Service Quality Target"
UP01,2024-04-01,11000,2000,7.25,"High Ambition","Low Growth Target","Low Service Quality Target"
UP01,2024-05-01,11000,2000,7.25,"High Ambition","Low Growth Target","Low Service Quality Target"
UP01,2024-06-01,11000,2000,7.25,"High Ambition","Low Growth Target","Low Service Quality Target"
